prob,E,L2_Y,L2_DY,L_inf_Y,L_inf_DY,time,ODE evals,NumPoints,break
tol,1e-006
1,0.0010,1.725e-008,5.454e-007,5.361e-008,1.695e-006,0.1783,1401,36,0
2,0.0100,2.134e-008,2.135e-006,7.355e-008,7.355e-006,0.2948,2129,42,0
3,0.0500,6.95e-010,3.275e-008,1.424e-009,6.746e-008,0.192,1475,39,0
4,0.0250,7.334e-009,3.004e-007,2.205e-008,9.035e-007,0.2803,1975,40,0
5,0.0100,2.614e-009,6.412e-008,5.05e-009,1.205e-007,0.2043,1375,37,0
6,0.0220,6.778e-009,4.948e-008,1.552e-008,2.252e-007,0.3513,2491,51,0
7,0.0250,1.887e-009,4.951e-008,4.371e-009,9.75e-008,0.1042,874,33,0
8,0.0100,2.135e-008,2.135e-006,7.356e-008,7.356e-006,0.2812,1996,42,0
9,0.0550,2.564e-007,7.816e-007,6.656e-007,1.657e-006,0.3258,2638,49,0
10,0.0220,9.445e-010,1.395e-008,2.316e-009,3.772e-008,0.2212,1615,53,0
11,0.0010,1.235e-009,9.196e-008,2.868e-009,1.669e-007,0.1865,1480,41,0
12,0.0025,2.926e-009,6.491e-008,9.847e-009,1.948e-007,0.3079,2390,48,0
13,0.0025,2.948e-009,6.512e-008,9.853e-009,1.949e-007,0.2955,2390,48,0
14,0.0025,3.673e-009,7.378e-008,9.853e-009,1.949e-007,0.3345,2671,59,0
15,0.0050,2.864e-007,2.237e-006,6.102e-007,4.428e-006,0.3863,2806,61,0
16,0.0526,8.749e-007,2.544e-005,1.959e-006,6.279e-005,0.6806,4349,84,0
17,0.0005,2.015e-007,9.261e-006,3.378e-007,1.772e-005,0.4026,2615,39,0
18,0.0130,4.858e-009,3.737e-007,1.492e-008,1.147e-006,0.2841,2071,45,0
19,0.0300,7.36e-009,2.164e-007,2.797e-008,7.051e-007,0.4593,2931,53,0
20,0.0500,4.476e-011,1.677e-009,1.636e-010,5.928e-009,0.9844,6455,105,0
21,0.0008,1.51e-008,1.942e-006,4.089e-008,7.475e-006,0.3221,2154,35,0
22,0.0250,3.325e-008,1.272e-006,1.187e-007,4.53e-006,0.3701,2490,40,0
23,5.0000,1.047e-009,5.526e-008,2.98e-009,2.331e-007,0.5162,3730,50,0
24,0.0300,9.352e-010,1.151e-008,2.467e-009,4.387e-008,0.6906,4769,67,0
25,0.0025,6.063e-012,3.298e-010,2.082e-011,9.822e-010,0.7208,4658,97,0
26,0.0200,7.341e-009,3.184e-007,1.73e-008,1.062e-006,0.4856,3715,56,0
27,0.0200,5.634e-009,2.826e-007,1.73e-008,1.06e-006,0.6001,4449,67,0
28,0.0300,5.774e-009,1.825e-007,2.994e-008,1.055e-006,0.8182,5965,108,0
29,0.0150,6.31e-010,2.901e-008,3.362e-009,1.411e-007,1.021,6517,92,0
30,0.0420,2.709e-010,4.38e-009,8.326e-010,1.859e-008,0.6614,4460,97,0
31,0.0250,1.93e-012,9.707e-011,4.667e-012,2.221e-010,0.3682,2656,49,0
32,100.0000,2.708e-011,2.414e-009,5.217e-011,1.626e-008,0.6096,4572,97,0

