prob,E,L2_Y,L2_DY,L_inf_Y,L_inf_DY,time,ODE evals,NumPoints,break
tol,1e-012
1,0.0010,7.069e-017,2.653e-015,2.22e-016,7.105e-015,4.27,0,748,0
2,0.0100,1.49e-015,4.107e-014,2.109e-015,1.99e-013,10.74,0,860,0
3,0.0500,4.732e-016,7.837e-016,9.992e-016,3.261e-015,2.326,0,577,0
4,0.0250,7.031e-017,3.972e-015,2.22e-016,2.842e-014,5.359,0,723,0
5,0.0100,1.78e-016,3.092e-015,4.441e-016,3.681e-014,2.751,0,577,0
6,0.0220,9.385e-016,3.056e-015,2.665e-015,7.994e-015,4.661,0,1091,0
7,0.0250,2.245e-016,1.485e-015,6.661e-016,2.998e-015,3.644,0,735,0
8,0.0100,1.252e-015,3.315e-014,2.22e-015,1.421e-013,11.16,0,860,0
9,0.0550,1.071e-014,3.416e-014,2.487e-014,8.527e-014,22.08,0,1151,0
10,0.0220,4.445e-016,1.338e-015,1.332e-015,5.329e-015,4.832,0,1087,0
11,0.0010,7.955e-017,5.809e-015,2.22e-016,8.882e-015,2.106,0,577,0
12,0.0025,6.943e-016,1.4e-014,7.022e-015,1.386e-013,8.471,0,943,0
13,0.0025,3.756e-016,7.687e-015,2.47e-015,4.619e-014,6.414,0,943,0
14,0.0025,4.273e-016,8.91e-015,2.484e-015,4.974e-014,10.98,0,1294,0
15,0.0050,8.035e-015,8.924e-014,3.075e-014,3.304e-013,26.6,0,1578,0
16,0.0526,2.043e-013,6.119e-012,4.772e-013,1.498e-011,8.255,0,865,1
17,0.0005,7.873e-016,1.94e-014,1.776e-015,5.684e-014,12.92,0,1197,0
18,0.0130,4.214e-017,4.322e-015,1.665e-016,2.842e-014,7.241,0,704,0
19,0.0300,3.706e-014,1.035e-012,3.564e-013,1.157e-011,5.326,0,755,0
20,0.0500,7.892e-016,1.09e-015,1.776e-015,4.33e-015,5.419,0,674,0
21,0.0008,1.721e-014,6.082e-013,2.084e-013,7.368e-012,6.251,0,736,0
22,0.0250,1.73e-014,7.024e-013,2.284e-013,9.209e-012,6.386,0,782,0
23,5.0000,8.695e-015,1.776e-013,1.126e-013,2.489e-012,5.12,0,690,0
24,0.0300,3.894e-015,4.831e-014,4.352e-014,6.688e-013,16.39,0,1017,0
25,0.0025,9.295e-016,5.263e-015,1.248e-014,7.971e-014,4.673,0,953,0
26,0.0200,2.337e-014,9.763e-013,3.242e-013,1.634e-011,15.62,0,1131,0
27,0.0200,2.583e-014,1.084e-012,3.24e-013,1.635e-011,8.417,0,914,0
28,0.0300,1.336e-014,4.489e-013,1.413e-013,5.052e-012,6.118,0,715,0
29,0.0150,1.641e-014,2.32e-013,1.357e-013,1.957e-012,4.493,0,628,0
30,0.0420,1.32e-014,1.153e-013,1.223e-013,9.486e-013,10.9,0,1073,0
31,0.0250,5.876e-016,9.82e-016,5.282e-015,1.066e-014,7.696,0,765,0
32,100.0000,9.712e-015,8.476e-013,2.492e-014,3.634e-012,2.516,0,236,1

