prob,E,L2_Y,L2_DY,L_inf_Y,L_inf_DY,time,ODE evals,NumPoints,break
tol,1e-012
1,0.0010,6.448e-016,2.08e-014,1.61e-015,5.151e-014,1.762,14587,394,0
2,0.0100,9.094e-016,9.1e-014,2.22e-015,2.203e-013,2.165,17913,392,0
3,0.0500,1.001e-015,4.129e-014,2.554e-015,1.061e-013,1.668,13085,399,0
4,0.0250,1.499e-014,5.699e-013,4.285e-014,1.68e-012, 1.6,12961,338,0
5,0.0100,1.862e-015,3.975e-014,7.994e-015,1.206e-013,1.993,15729,445,0
6,0.0220,1.525e-015,2.587e-014,4.025e-015,1.117e-013,2.803,22289,536,0
7,0.0250,1.252e-015,2.424e-014,2.665e-015,1.388e-013,1.699,13406,450,0
8,0.0100,8.905e-016,8.834e-014,2.22e-015,2.203e-013,2.111,17067,398,0
9,0.0550,5.883e-013,1.345e-012,7.39e-013,2.132e-012,12.99,122328,1149,1
10,0.0220,1.167e-015,2.111e-014,3.331e-015,5.529e-014,2.684,21184,503,0
11,0.0010,8.33e-016,3.144e-014,5.107e-015,1.602e-013,1.817,14088,505,0
12,0.0025,1.002e-014,2e-013,3.63e-014,7.248e-013,3.089,26960,519,0
13,0.0025,1.012e-014,2.021e-013,3.586e-014,7.15e-013,2.996,25485,520,0
14,0.0025,1.31e-014,2.607e-013,3.586e-014,7.159e-013,3.346,28252,613,0
15,0.0050,2.108e-013,2.568e-012,5.933e-013,4.21e-012,14.03,132152,1010,1
16,0.0526,8.959e-014,2.551e-012,2.062e-013,6.466e-012,11.34,115619,1185,1
17,0.0005,1.289e-015,1.015e-012,4.996e-015,1.243e-012,11.43,95799,1092,1
18,0.0130,9.952e-015,7.655e-013,2.842e-014,2.185e-012,1.702,11849,338,0
19,0.0300,3.453e-014,9.973e-013,3.558e-013,1.144e-011,2.287,19362,348,0
20,0.0500,3.93e-016,5.192e-015,1.332e-015,1.477e-014,2.862,22220,462,0
21,0.0008,1.687e-014,6.13e-013,1.876e-013,6.082e-012,2.088,17293,370,0
22,0.0250,1.675e-014,6.221e-013,6.972e-014,2.963e-012,2.078,16464,341,0
23,5.0000,8.637e-015,1.778e-013,1.135e-013,2.455e-012,2.055,17590,297,0
24,0.0300,7.244e-015,7.728e-014,3.719e-014,4.081e-013,3.098,24423,552,0
25,0.0025,7.845e-016,7.296e-015,6.078e-015,5.218e-014,3.301,26107,559,0
26,0.0200,2.471e-014,1.096e-012,3.247e-013,1.592e-011,3.837,33285,514,0
27,0.0200,2.702e-014,1.201e-012,3.244e-013,1.59e-011,3.283,28537,427,0
28,0.0300,1.21e-014,4.054e-013,1.413e-013,4.954e-012,2.553,21122,386,0
29,0.0150,9.824e-015,1.359e-013,1.384e-013,1.826e-012,10.73,92001,869,1
30,0.0420,3.711e-014,8.294e-014,3.669e-013,5.098e-013,11.69,107812,888,1
31,0.0250,5.925e-016,1.252e-015,5.24e-015,1.082e-014,2.847,22425,435,0
32,100.0000,4.429e-014,3.757e-012,7.891e-014,2.243e-011,1.365,9059,196,1

