prob,E,L2_Y,L2_DY,L_inf_Y,L_inf_DY,time,ODE evals,NumPoints,break
tol,1e-009
1,0.0010,1.819e-012,5.751e-011,3.582e-012,1.133e-010,3.153,0,836,0
2,0.0100,2.624e-011,2.624e-009,7.075e-011,7.075e-009,2.346,0,696,0
3,0.0500,2.184e-012,3.004e-011,3.911e-012,7.479e-011,2.917,0,889,0
4,0.0250,1.424e-011,4.613e-010,3.467e-011,1.248e-009,3.129,0,852,0
5,0.0100,5.354e-012,4.198e-011,9e-012,2.603e-010,3.223,0,889,0
6,0.0220,1.427e-012,2.44e-011,3.344e-012,6.075e-011,5.936,0,1404,0
7,0.0250,1.036e-012,1.427e-011,2.741e-012,4.132e-011,3.213,0,1064,0
8,0.0100,2.624e-011,2.624e-009,7.075e-011,7.075e-009,2.298,0,696,0
9,0.0550,8.525e-011,2.658e-010,1.437e-010,5.009e-010,6.611,0,1707,0
10,0.0220,8.817e-013,2.197e-011,2.125e-012,4.027e-011,5.438,0,1303,0
11,0.0010,8.748e-012,1.008e-010,1.811e-011,2.971e-010,2.894,0,889,0
12,0.0025,7.609e-012,8.889e-011,1.67e-011,1.836e-010,5.214,0,1159,0
13,0.0025,7.609e-012,8.889e-011,1.67e-011,1.836e-010,5.161,0,1159,0
14,0.0025,6.486e-012,9.313e-011,1.67e-011,1.836e-010,6.034,0,1525,0
15,0.0050,1.835e-010,1.651e-009,3.992e-010,3.851e-009,11.05,0,2087,0
16,0.0526,2.266e-010,6.647e-009,5.212e-010,1.642e-008,21.06,0,3281,0
17,0.0005,4.603e-012,6.239e-010,1.264e-011,1.405e-009,8.184,0,1069,0
18,0.0130,9.686e-012,7.452e-010,2.477e-011,1.906e-009,2.602,0,814,0
19,0.0300,4.762e-012,1.128e-010,8.025e-012,2.667e-010,3.792,0,788,0
20,0.0500,1.351e-013,1.444e-011,5.58e-013,3.53e-011,4.31,0,946,0
21,0.0008,2.759e-012,9.926e-011,6.667e-012,2.962e-010,3.446,0,941,0
22,0.0250,6.32e-012,1.269e-010,1.251e-011,3.135e-010,3.771,0,991,0
23,5.0000,1.855e-012,9.515e-011,2.837e-012,2.846e-010,4.06,0,813,0
24,0.0300,3.849e-012,4.579e-011,9.481e-012,1.356e-010,5.643,0,1272,0
25,0.0025,2.072e-013,1.257e-011,6.429e-013,2.506e-011,3.438,0,1109,0
26,0.0200,4.98e-012,2.076e-010,1.229e-011,6.561e-010,5.792,0,1351,0
27,0.0200,5.628e-012,2.374e-010,1.228e-011,6.547e-010,4.782,0,1020,0
28,0.0300,2.484e-012,8.198e-011,5.345e-012,1.921e-010,3.665,0,799,0
29,0.0150,1.013e-012,4.418e-011,2.933e-012,1.168e-010,4.601,0,769,0
30,0.0420,1.242e-012,3.683e-011,4.445e-012,9.287e-011,7.658,0,1296,0
31,0.0250,1.212e-013,6.636e-013,5.335e-013,8.006e-013,5.535,0,1153,0
32,100.0000,1.733e-012,7.075e-011,2.44e-012,2.343e-010,7.009,0,865,0

