prob,E,L2_Y,L2_DY,L_inf_Y,L_inf_DY,time,ODE evals,NumPoints,break
tol,0.001
1,0.0010,1.038e-005,0.0003283,3.09e-005,0.000977,0.1355,0,33,0
2,0.0100,5.393e-005,0.005393,0.0001918,0.01918,0.1932,0,31,0
3,0.0500,4.473e-007,5.785e-006,7.725e-007,8.252e-006,0.09823,0,33,0
4,0.0250,2.771e-005,0.001134,8.537e-005,0.003495,0.1857,0,29,0
5,0.0100,1.429e-006,2.033e-005,2.295e-006,8.659e-005,0.08825,0,33,0
6,0.0220,7.654e-006,0.00013,1.937e-005,0.0003141,0.1641,0,32,0
7,0.0250,2.141e-006,1.614e-005,3.846e-006,4.967e-005,0.07587,0,33,0
8,0.0100,5.393e-005,0.005393,0.0001918,0.01918,0.2084,0,31,0
9,0.0550,0.0003705,0.00138,0.0006787,0.002787,0.17,0,35,0
10,0.0220,5.824e-006,0.0001241,1.697e-005,0.0003341,0.1482,0,33,0
11,0.0010,1.672e-006,2.3e-005,2.525e-006,7.978e-005,0.08577,0,33,0
12,0.0025,2.609e-005,0.0005128,7.751e-005,0.001554,0.1391,0,29,0
13,0.0025,2.612e-005,0.0005133,7.78e-005,0.001559,0.1383,0,29,0
14,0.0025,3.305e-005,0.0006573,7.78e-005,0.001559,0.1718,0,35,0
15,0.0050,0.0005639,0.005309,0.001323,0.01173,0.2524,0,47,0
16,0.0526,0.0006935,0.02119,0.001594,0.05098,0.3138,0,73,0
17,0.0005,1.96e-005,0.001721,5.086e-005,0.00386,0.1546,0,27,0
18,0.0130,2.136e-005,0.001643,6.687e-005,0.005144,0.2175,0,31,0
19,0.0300,2.388e-005,0.0007243,6.89e-005,0.002334,0.23,0,29,0
20,0.0500,1.448e-007,6.955e-006,6.039e-007,3.244e-005,0.5582,0,68,0
21,0.0008,1.752e-005,0.0007456,5.56e-005,0.002211,0.2251,0,33,0
22,0.0250,2.52e-005,0.0009722,8.059e-005,0.003094,0.2264,0,32,0
23,5.0000,6.232e-006,0.0003183,1.13e-005,0.0008556,0.2785,0,23,0
24,0.0300,6.717e-006,8.671e-005,1.764e-005,0.000274,0.3103,0,49,0
25,0.0025,5.811e-008,2.255e-006,1.605e-007,6.515e-006,0.4262,0,83,0
26,0.0200,2.97e-005,0.001107,8.991e-005,0.003103,0.3063,0,30,0
27,0.0200,2.837e-005,0.001065,8.986e-005,0.003099,0.3151,0,32,0
28,0.0300,8.818e-006,0.0002658,4.525e-005,0.001543,0.4115,0,86,0
29,0.0150,2.621e-006,7.004e-005,1.09e-005,0.0003333,0.5362,0,94,0
30,0.0420,1.64e-006,1.591e-005,5.665e-006,4.497e-005,0.4469,0,71,0
31,0.0250,1.594e-008,8.062e-007,3.856e-008,1.905e-006,0.2455,0,34,0
32,100.0000,8.17e-007,8.17e-005,1.526e-006,0.0003619,0.4293,0,63,0

