prob,E,L2_Y,L2_DY,L_inf_Y,L_inf_DY,time,ODE evals,NumPoints,break
tol,1e-009
1,0.0010,5.69e-014,1.8e-012,2.189e-013,6.923e-012,0.7691,0,170,0
2,0.0100,5.868e-014,5.863e-012,1.383e-013,1.383e-011,0.9843,0,189,0
3,0.0500,1.067e-013,4.723e-012,4.642e-013,2.353e-011,0.6042,0,149,0
4,0.0250,1.533e-013,1.342e-012,4.625e-013,1.123e-011,1.031,0,206,0
5,0.0100,1.433e-013,6.065e-012,3.137e-013,2.28e-011,0.7398,0,149,0
6,0.0220,1.836e-013,4.251e-012,4.663e-013,2.047e-011,1.19,0,259,0
7,0.0250,1.76e-013,5.012e-012,4.037e-013,1.339e-011,0.9716,0,171,0
8,0.0100,5.952e-014,5.834e-012,1.386e-013,1.383e-011,0.9224,0,189,0
9,0.0550,3.065e-012,7.704e-012,6.001e-012,1.268e-011,2.067,0,313,0
10,0.0220,1.775e-013,2.03e-012,3.564e-013,1.297e-011,1.153,0,278,0
11,0.0010,2.146e-013,3.741e-011,6.33e-013,6.075e-011,0.5731,0,153,0
12,0.0025,2.324e-013,1.102e-011,6.52e-013,2.387e-011,1.51,0,222,0
13,0.0025,2.327e-013,1.102e-011,6.52e-013,2.387e-011,1.512,0,222,0
14,0.0025,2.422e-013,7.349e-012,6.52e-013,1.938e-011,1.915,0,315,0
15,0.0050,1.435e-012,1.22e-011,3.058e-012,2.806e-011,2.455,0,410,0
16,0.0526,1.944e-012,6.481e-011,4.785e-012,1.505e-010,4.558,0,647,0
17,0.0005,9.796e-014,3.12e-012,1.543e-013,5.983e-012,1.471,0,311,0
18,0.0130,2.944e-014,2.266e-012,2.122e-013,1.632e-011,1.013,0,206,0
19,0.0300,4.841e-014,1.647e-012,3.574e-013,1.129e-011,1.474,0,188,0
20,0.0500,6.237e-014,1.185e-012,1.239e-013,3.845e-012,1.764,0,191,0
21,0.0008,1.235e-013,8.924e-012,3.013e-013,3.132e-011,0.9296,0,164,0
22,0.0250,2.68e-013,4.496e-012,4.37e-013,2.029e-011,1.336,0,185,0
23,5.0000,4.036e-014,1.28e-012,1.521e-013,3.309e-012,1.34,0,176,0
24,0.0300,6.014e-013,6.038e-012,1.402e-012,1.718e-011,1.583,0,262,0
25,0.0025,2.178e-013,5.979e-012,8.588e-013,2.174e-011,1.434,0,225,0
26,0.0200,3.323e-014,1.328e-012,3.216e-013,1.703e-011,2.073,0,296,0
27,0.0200,6.841e-014,1.551e-012,3.212e-013,1.706e-011,1.687,0,231,0
28,0.0300,2.537e-014,8.587e-013,1.403e-013,5.317e-012,1.624,0,185,0
29,0.0150,3.722e-014,1.417e-012,1.422e-013,8.993e-012,1.295,0,167,0
30,0.0420,6.774e-014,1.285e-012,1.769e-013,3.21e-012,1.638,0,283,0
31,0.0250,3.238e-015,3.896e-014,1.502e-014,2.475e-013,1.267,0,189,0
32,100.0000,7.239e-015,2.988e-013,1.66e-014,9.592e-013,1.548,0,190,0


