prob,E,L2_Y,L2_DY,L_inf_Y,L_inf_DY,time,ODE evals,NumPoints,break
tol,1e-012
1,0.0010,5.443e-014,1.721e-012,1.398e-013,4.42e-012,8.277,0,2995,1
2,0.0100,6.24e-014,6.24e-012,1.725e-013,1.726e-011,9.447,0,3294,1
3,0.0500,1.046e-014,1.361e-013,1.832e-014,2.581e-013,6.453,0,2593,1
4,0.0250,2.758e-014,1.095e-012,7.91e-014,3.176e-012,15.54,0,4417,1
5,0.0100,3.283e-014,1.95e-013,5.373e-014,1.215e-012,7.394,0,2593,1
6,0.0220,1.85e-013,3.125e-012,5.291e-013,6.849e-012,6.337,0,2577,1
7,0.0250,1.368e-014,3.139e-013,3.464e-014,6.211e-013,6.266,0,2593,1
8,0.0100,6.24e-014,6.24e-012,1.728e-013,1.726e-011,9.094,0,3294,1
9,0.0550,1.302e-011,1.122e-010,4.183e-011,3.545e-010,8.128,0,2593,1
10,0.0220,8.716e-015,1.849e-013,2.465e-014,4.73e-013,13.26,0,4787,1
11,0.0010,3.968e-014,3.298e-013,5.906e-014,1.864e-012,6.169,0,2593,1
12,0.0025,6.22e-012,1.247e-010,2.894e-011,5.8e-010,6.988,0,2588,1
13,0.0025,6.22e-012,1.247e-010,2.894e-011,5.799e-010,6.981,0,2588,1
14,0.0025,8.805e-012,1.765e-010,2.894e-011,5.799e-010,6.988,0,2583,1
15,0.0050,1.021e-010,8.253e-010,2.174e-010,2.284e-009,6.395,0,2593,1
16,0.0526,2.971e-010,8.888e-009,6.907e-010,2.175e-008,6.988,0,2593,1
17,0.0005,2.065e-012,7.888e-011,3.303e-012,2.143e-010,6.964,0,2593,1
18,0.0130,1.07e-013,8.232e-012,3.058e-013,2.353e-011,9.418,0,3050,1
19,0.0300,1.131e-013,3.246e-012,8.163e-013,2.587e-011,11.58,0,3583,1
20,0.0500,9.983e-016,4.742e-014,3.775e-015,1.199e-013,10.38,0,3595,1
21,0.0008,1.742e-014,6.131e-013,4.347e-013,1.55e-011,15.98,0,4913,0
22,0.0250,1.243e-013,4.803e-012,6.428e-013,2.549e-011,10.65,0,3333,1
23,5.0000,1.264e-013,3.57e-012,3.83e-013,2.574e-011,12.37,0,4057,1
24,0.0300,8.685e-013,1.295e-011,3.057e-012,5.751e-011,6.809,0,2387,1
25,0.0025,1.452e-015,3.281e-014,1.527e-014,1.308e-013,13.77,0,4797,1
26,0.0200,3.652e-011,1.332e-009,1.832e-010,8.713e-009,7.219,0,2593,1
27,0.0200,5.716e-013,2.097e-011,2.462e-012,1.18e-010,14.1,0,4778,1
28,0.0300,1.149e-014,3.751e-013,2.314e-013,8.116e-012,16.62,0,4930,1
29,0.0150,1.938e-014,2.627e-013,4.304e-013,5.262e-012,29.34,0,4765,0
30,0.0420,2.037e-014,3.724e-013,2.199e-013,1.771e-012,13.61,0,4623,1
31,0.0250,5.064e-015,2.504e-013,1.792e-014,7.27e-013,7.204,0,1903,1
32,100.0000,5.158e-014,6.775e-012,1.064e-013,2.508e-011,22.16,0,2117,1
